City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Aswan,EG,66.7,scattered clouds,24.0934,32.907,Nuba Nile
358,Kupang,ID,81.18,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
360,La Palma,US,61.93,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
363,Cabo San Lucas,MX,67.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
365,Manhumirim,BR,76.01,overcast clouds,-20.3578,-41.9581,Palace Hotel de Manhumirim
367,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
369,Marsaxlokk,MT,60.08,clear sky,35.8419,14.5431,Water's Edge
374,Andros Town,BS,58.96,clear sky,24.7,-77.7667,Hanks place
376,Visakhapatnam,IN,76.89,haze,17.69,83.2093,Best Western Ramachandra Hotel
377,Barahona,DO,67.82,few clouds,18.2085,-71.1008,Hotel Caribe
380,Kota Bahru,MY,78.75,few clouds,6.1333,102.2386,Grand Riverview Hotel
383,Marawi,PH,71.65,broken clouds,7.9986,124.2928,Derogongan Residence
384,Rawson,AR,59.29,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
386,Tuatapere,NZ,59.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
388,Parrita,CR,78.57,few clouds,9.5201,-84.3225,Beso del Viento
389,Rurrenabaque,BO,72.64,overcast clouds,-14.4413,-67.5278,Casa de Campo
391,Huarmey,PE,69.66,overcast clouds,-10.0681,-78.1522,Hotel Miramar
395,Acapulco,MX,73.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
399,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
401,Borba,BR,73.08,light rain,-4.3878,-59.5939,Hotel da Amazônia
402,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
407,Maragogi,BR,81.91,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
409,Agropoli,IT,56.28,clear sky,40.3469,14.9966,B&B Baia di Trentova
414,Santa Maria,BR,69.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
415,Port Lincoln,AU,68.76,clear sky,-34.7333,135.8667,Port Lincoln Hotel
419,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
423,Airai,TL,62.02,overcast clouds,-8.9266,125.4092,
425,Acarau,BR,76.68,overcast clouds,-2.8856,-40.12,castelo pizzaria
427,Ambilobe,MG,83.19,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
429,Ponta Delgada,PT,59.72,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
430,Mamallapuram,IN,82.45,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
433,Srikakulam,IN,72.54,clear sky,18.3,83.9,Micro Systems
434,Dakar,SN,79.68,clear sky,14.6937,-17.4441,Novotel Dakar
437,Rocha,UY,71.98,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
442,Vila,PT,55.33,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
443,Horta,PT,60.44,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
447,Gizo,SB,82.62,overcast clouds,-8.103,156.8419,Imagination Island
448,Beira,MZ,86.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
449,Pyu,MM,72.16,clear sky,18.4833,96.4333,Mr Bo Bo
450,Passo Fundo,BR,65.97,broken clouds,-28.2628,-52.4067,Maitá Palace Hotel
451,Uitenhage,ZA,91.42,few clouds,-33.7576,25.3971,Mi Casa Guest House
452,Araguari,BR,71.89,overcast clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
453,Bauchi,NG,82.63,broken clouds,10.5,10.0,
456,Valparaiso,CL,64.47,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
459,Aba,NG,94.46,overcast clouds,5.1066,7.3667,Mickeys Guest House
460,Buchanan,LR,89.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
463,Harper,LR,86.54,scattered clouds,4.375,-7.7169,Screensaver
464,Olmos,PE,71.15,overcast clouds,-5.9847,-79.7453,Hospedaje El Olmo
468,Dalbandin,PK,69.93,clear sky,28.8947,64.4101,Gidaan Guest House
469,Sefton,NZ,64.98,overcast clouds,-43.25,172.6667,Ra-ata Farm
471,El Alto,PE,70.81,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
472,Vila Franca Do Campo,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
475,Amuntai,ID,78.82,moderate rain,-2.4177,115.2494,Hotel Balqis
480,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
481,Kasangulu,CD,86.88,light rain,-4.5911,15.1708,Hôtel le Relais
482,Igunga,TZ,80.51,overcast clouds,-4.2833,33.8833,Victoria Lodge
483,Sao Felix Do Xingu,BR,70.48,light rain,-6.6447,-51.995,Rio Xingu Camping
485,Kruisfontein,ZA,89.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
486,Vanimo,PG,79.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
489,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
493,Grand Gaube,MU,87.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
494,Muli,MV,82.69,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
495,Muscat,OM,77.02,clear sky,23.6139,58.5922,Mutrah Hotel
498,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
500,Srivardhan,IN,79.18,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
501,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
503,Sarh,TD,93.11,clear sky,9.1429,18.3923,Domicile 1sur le goudron
504,Lefka,CY,58.08,overcast clouds,35.1106,32.8506,Direk Hotel
508,Los Algarrobos,PA,70.21,few clouds,8.5,-82.4333,Waterfall Hostel
510,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
513,Dwarka,IN,72.05,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
515,Waingapu,ID,80.56,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
520,Cockburn Town,TC,75.52,few clouds,21.4612,-71.1419,Osprey Beach Hotel
521,Odweyne,SO,81.41,scattered clouds,9.4092,45.064,Eng Hiirey House
522,Sri Aman,MY,82.45,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
523,Leticia,CO,77.05,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
526,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
528,Omboue,GA,84.45,light rain,-1.5746,9.2618,Hotel Olako
531,Comodoro Rivadavia,AR,58.86,few clouds,-45.8667,-67.5,Austral Hotel
533,Ko Samui,TH,84.11,clear sky,9.5357,99.9357,The Passage
534,Mahebourg,MU,87.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
536,Mizan Teferi,ET,86.41,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
537,Biloela,AU,73.53,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
542,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
543,Kilifi,KE,88.18,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
