City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Villa Maria,AR,2022-01-29 20:51:17,-32.4075,-63.2402,88.83,43,0,10.65
192,Mporokoso,ZM,2022-01-29 20:51:17,-9.3727,30.125,63.32,94,100,2.01
193,Provideniya,RU,2022-01-29 20:48:30,64.3833,-173.3,2.66,86,4,5.01
194,Port Hedland,AU,2022-01-29 20:51:18,-20.3167,118.5667,82.45,74,40,2.3
195,Santhia,IT,2022-01-29 20:51:18,45.3663,8.1726,46.71,61,50,1.05
196,Fasa,IR,2022-01-29 20:51:19,28.9383,53.6482,49.24,57,75,0.0
197,Nome,US,2022-01-29 20:51:19,64.5011,-165.4064,-5.84,59,0,0.0
198,Onufriyivka,UA,2022-01-29 20:51:19,48.9072,33.4487,24.85,93,64,10.25
199,Pangai,TO,2022-01-29 20:51:20,-19.8,-174.35,82.09,76,83,13.2
200,San Vicente,AR,2022-01-29 20:51:21,-26.6167,-54.1333,69.33,76,93,6.06
201,Songjianghe,CN,2022-01-29 20:51:21,42.1859,127.479,-1.97,94,7,4.9
202,Broken Hill,AU,2022-01-29 20:51:21,-31.95,141.4333,73.11,64,15,6.91
203,Ribeira Grande,PT,2022-01-29 20:49:14,38.5167,-28.7,59.4,67,20,5.75
204,Anchorage,US,2022-01-29 20:48:12,61.2181,-149.9003,30.63,85,100,4.0
205,Buraydah,SA,2022-01-29 20:51:22,26.326,43.975,52.25,35,0,17.45
206,Lola,GN,2022-01-29 20:51:22,7.8,-8.5333,76.44,24,66,3.69
207,Arraial Do Cabo,BR,2022-01-29 20:51:23,-22.9661,-42.0278,76.96,94,75,11.5
208,Karratha,AU,2022-01-29 20:50:12,-20.7377,116.8463,80.83,62,75,14.7
209,Little Current,CA,2022-01-29 20:51:23,45.9793,-81.9248,16.41,92,99,7.87
210,San Cristobal,VE,2022-01-29 20:51:24,7.7669,-72.225,78.98,43,9,7.54
211,Sheregesh,RU,2022-01-29 20:51:24,52.9209,87.9869,-2.45,97,16,2.75
212,Georgetown,MY,2022-01-29 20:46:59,5.4112,100.3354,81.9,90,20,1.99
213,Formosa Do Rio Preto,BR,2022-01-29 20:51:25,-11.0483,-45.1931,72.01,95,100,5.26
214,Port-Gentil,GA,2022-01-29 20:46:58,-0.7193,8.7815,80.56,89,40,5.75
215,Esfarayen,IR,2022-01-29 20:51:25,37.0765,57.5101,28.06,47,0,3.71
216,Acarau,BR,2022-01-29 20:47:56,-2.8856,-40.12,80.06,69,97,10.4
217,Acari,PE,2022-01-29 20:51:26,-15.4311,-74.6158,77.54,61,91,11.01
218,Mwense,ZM,2022-01-29 20:51:26,-10.3845,28.698,67.05,95,99,2.66
219,Tumbotino,RU,2022-01-29 20:51:27,55.9993,43.0236,17.49,99,91,4.25
220,Ponta Do Sol,PT,2022-01-29 20:51:16,32.6667,-17.1,65.03,68,25,5.06
221,Turochak,RU,2022-01-29 20:51:27,52.2576,87.1224,-4.32,99,73,2.82
222,Jawala Mukhi,IN,2022-01-29 20:51:28,31.8833,76.3167,48.24,69,0,2.59
223,Amberley,US,2022-01-29 20:51:28,39.2048,-84.428,25.92,57,40,1.01
224,Epinal,FR,2022-01-29 20:51:29,48.1833,6.45,41.14,97,100,10.4
225,Sobolevo,RU,2022-01-29 20:51:29,54.4299,31.8996,23.04,93,100,11.63
226,Illela,NG,2022-01-29 20:51:30,13.7292,5.2975,68.76,14,3,11.41
227,Altay,CN,2022-01-29 20:51:30,47.8667,88.1167,2.17,52,25,7.76
228,Iqaluit,CA,2022-01-29 20:48:55,63.7506,-68.5145,-7.87,59,100,9.22
229,Araouane,ML,2022-01-29 20:51:30,18.9048,-3.5265,71.91,13,93,12.59
230,Korla,CN,2022-01-29 20:50:23,41.7597,86.1469,23.5,54,100,5.03
231,Saint-Augustin,CA,2022-01-29 20:52:31,51.226,-58.6502,7.83,79,100,15.21
232,Qeshm,IR,2022-01-29 20:52:31,26.9581,56.2719,64.29,63,4,8.81
233,Pelym,RU,2022-01-29 20:52:32,61.0108,61.9978,6.12,96,100,3.71
234,Bulgan,MN,2022-01-29 20:52:32,48.8125,103.5347,-7.2,94,93,4.59
